University,Department,Name,Position,Link,Email,Research Focus,Profile_link
Stanford,Engineering,Alexander Dunn,Professor of Chemical Engineering,https://engineering.stanford.edu/people/alexander-dunn,N/A,N/A,N/A
Stanford,Engineering,Zakir Durumeric,Assistant Professor of Computer Science,https://engineering.stanford.edu/people/zakir-durumeric,N/A,N/A,N/A
Stanford,Engineering,Christopher Edwards,"Professor of Mechanical Engineering, Emeritus",https://engineering.stanford.edu/people/chris-edwards,N/A,N/A,N/A
Stanford,Engineering,Matthew R. Edwards,Assistant Professor of Mechanical Engineering,https://engineering.stanford.edu/people/matthew-edwards,N/A,N/A,N/A
Stanford,Engineering,Charles (Chuck) Eesley,Associate Professor of Management Science and Engineering,https://engineering.stanford.edu/people/charles-eesley,N/A,N/A,N/A
Stanford,Engineering,Kathleen Eisenhardt,"Stanford W. Ascherman, M.D. Professor in the School of Engineering",https://engineering.stanford.edu/people/kathleen-eisenhardt,N/A,N/A,N/A
Stanford,Engineering,Abbas El Gamal,Hitachi America Professor in the School of Engineering,https://engineering.stanford.edu/people/abbas-el-gamal,N/A,N/A,N/A
Stanford,Engineering,Sigrid Elschot,Associate Professor of Aeronautics and Astronautics,https://engineering.stanford.edu/people/sigrid-elschot,N/A,N/A,N/A
Stanford,Engineering,Drew Endy,"Associate Professor of Bioengineering and Senior Fellow, by courtesy, at the Hoover Institution and at the Freeman Spogli Institute for International Studies",https://engineering.stanford.edu/people/drew-endy,N/A,N/A,N/A
Stanford,Engineering,Dawson Engler,Associate Professor of Computer Science and of Electrical Engineering,https://engineering.stanford.edu/people/dawson-engler,N/A,N/A,N/A
Stanford,Engineering,Stefano Ermon,Associate Professor of Computer Science and Senior Fellow at the Woods Institute for the Environment,https://engineering.stanford.edu/people/stefano-ermon,N/A,N/A,N/A
Stanford,Engineering,Jonathan Fan,Associate Professor of Electrical Engineering,https://engineering.stanford.edu/people/jonathan-fan,N/A,N/A,N/A
Stanford,Engineering,Monther Abu-Remaileh,Assistant Professor of Chemical Engineering and of Genetics,https://engineering.stanford.edu/people/monther-abu-remaileh,N/A,N/A,N/A
Stanford,Engineering,Sara Achour,Assistant Professor of Computer Science and of Electrical Engineering,https://engineering.stanford.edu/people/sara-achour,N/A,N/A,N/A
Stanford,Engineering,Maneesh Agrawala,"Forest Baskett Professor and Professor, by courtesy, of Electrical Engineering",https://engineering.stanford.edu/people/maneesh-agrawala,N/A,N/A,N/A
Stanford,Engineering,Alex Aiken,Alcatel-Lucent Professor of Communications and Networking and Professor of Particle Physics and Astrophysics,https://engineering.stanford.edu/people/alex-aiken,N/A,N/A,N/A
Stanford,Engineering,Juan Alonso,Vance D. and Arlene C. Coffman Professor and the James and Anna Marie Spilker Chair of the Department of Aeronautics and Astronautics,https://engineering.stanford.edu/people/juan-alonso,N/A,N/A,N/A
Stanford,Engineering,Russ B. Altman,"Kenneth Fong Professor and Professor of Bioengineering, of Genetics, of Medicine, of Biomedical Data Science, and Senior Fellow at the Stanford Institute for HAI",https://engineering.stanford.edu/people/russ-altman,N/A,N/A,N/A
